file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;cadical_hybrid_res;cadical_hybrid_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;z3_hybrid;z3_hybrid_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/SYN/SYN121-1.p;255;30.017314865;0;2.255870873;0;3.170856936;255;30.023199514;0;8.989533275;0;.074074999;0;.010226319;0;.060166916
./TPTP-v8.2.0/Problems/SYN/SYN252-1.p;255;30.019443257;0;12.514805168;0;2.759209558;255;30.018477590;255;30.005954638;0;.291288824;255;30.003812496;0;.865436097
./TPTP-v8.2.0/Problems/SYN/SYN465-1.p;255;30.010829956;255;30.013570588;255;30.011920111;255;30.019740703;255;30.018694515;255;30.021061702;255;30.004042478;0;.678035257
./TPTP-v8.2.0/Problems/SYN/SYN137-1.p;255;30.013847690;0;23.007473372;0;2.796505329;255;30.024024299;255;30.006138919;0;.503470111;0;.016097101;0;.060664780
./TPTP-v8.2.0/Problems/SYN/SYN674-1.p;255;30.008123627;255;30.008180310;255;30.009725942;255;30.012670321;255;30.018495277;255;30.010792702;0;.006828462;0;.032132141
./TPTP-v8.2.0/Problems/SYN/SYN142-1.p;255;30.016421007;0;25.277709932;0;3.655924019;255;30.020464418;255;30.006053823;0;.558767983;255;30.003894413;0;.612146206
./TPTP-v8.2.0/Problems/SYN/SYN227-1.p;255;30.015954920;0;17.082980845;0;7.035086340;0;17.484397884;255;30.005909989;0;.077372789;0;.009464505;0;.053397563
./TPTP-v8.2.0/Problems/SYN/SYN276-1.p;0;.049420820;0;.049353457;0;2.585512734;0;.074434407;0;.064383784;0;.056607382;0;.008815775;0;.029586721
./TPTP-v8.2.0/Problems/SYN/SYN352-1.p;0;.100380365;0;.031970125;0;.032149001;0;.391385745;0;.062077442;0;.051504173;0;.004568262;0;.034097311
./TPTP-v8.2.0/Problems/SYN/SYN126-1.p;255;30.015237651;0;5.119098634;0;6.857079193;255;30.022743458;0;10.011612746;0;.993990500;0;.009620540;0;.053339529
./TPTP-v8.2.0/Problems/SYN/SYN891-1.p;255;30.047252064;255;30.017025440;0;13.869729574;255;30.031059721;255;30.015463451;0;7.705558592;255;30.005462002;0;.490994165
./TPTP-v8.2.0/Problems/SYN/SYN045-1.p;0;.028603180;0;.028965111;0;.028628241;0;.044162614;0;.034417050;0;.034596977;0;.004998686;0;.025151192
./TPTP-v8.2.0/Problems/SYN/SYN598-1.p;255;30.008683676;0;.044399006;0;.049807276;255;30.009986082;0;.076757307;0;.072525736;0;.006086210;0;.030909772
./TPTP-v8.2.0/Problems/SYN/SYN231-1.p;255;30.015935532;0;1.783800160;0;3.326213792;255;30.019447005;0;20.611443472;0;.584060087;0;.008669529;0;.053102362
./TPTP-v8.2.0/Problems/SYN/SYN015-2.p;255;30.008014948;255;30.006117179;255;30.008394248;255;30.015205464;255;30.008283430;255;30.014757810;255;30.003857903;0;.032312805
./TPTP-v8.2.0/Problems/SYN/SYN986-10.006.p;255;30.007798388;255;30.007791481;255;30.009528817;255;30.013659330;255;30.014804242;255;30.020337877;255;30.003607031;255;30.129266817
./TPTP-v8.2.0/Problems/SYN/SYN440-1.p;255;30.014993559;255;30.014553532;255;30.013992129;255;30.020917698;255;30.019345337;255;30.021145836;255;30.003938028;0;3.208542247
./TPTP-v8.2.0/Problems/SYN/SYN153-1.p;0;6.572952952;0;2.036502767;0;5.572828861;0;7.689427902;0;16.020795288;0;2.803432464;0;.008728781;0;.051955415
./TPTP-v8.2.0/Problems/SYN/SYN139-1.p;255;30.017310074;0;22.921556689;0;8.041457565;255;30.020746247;255;30.006783317;0;.218965914;0;28.380143100;0;.491432527
./TPTP-v8.2.0/Problems/SYN/SYN447-1.p;255;30.012913213;255;30.018200619;255;30.014068136;255;30.021488240;255;30.018655896;255;30.021005648;255;30.003772950;0;.656879675
./TPTP-v8.2.0/Problems/SYN/SYN659-1.p;255;30.008758795;0;.104128619;0;.056741990;255;30.009478477;0;.118710879;0;.070524901;0;.005172831;0;.032759448
./TPTP-v8.2.0/Problems/SYN/SYN706-1.p;255;30.007836727;0;.072297836;0;.069326534;255;30.010178921;0;.128173164;0;.881942458;0;.005982035;0;1.957543503
./TPTP-v8.2.0/Problems/SYN/SYN278-1.p;0;.494344096;0;.314304825;0;6.491035663;0;.196316730;0;1.370321315;0;.116163799;0;.008466683;0;.050806738
./TPTP-v8.2.0/Problems/SYN/SYN128-1.p;255;30.024602089;0;2.099396144;0;6.771150002;255;30.043669505;0;1.701114219;0;.246782245;0;.009307449;0;.054881195
./TPTP-v8.2.0/Problems/SYN/SYN095-1.002.p;0;.035413809;0;.031017334;0;.029296160;0;.056554556;0;.056999510;0;.033944014;0;.004137419;0;.026364789
./TPTP-v8.2.0/Problems/SYN/SYN688-1.p;255;30.006249406;0;.436738595;0;.355773429;255;30.010957774;0;.118442239;0;.610865837;0;.379387286;0;3.776465202
./TPTP-v8.2.0/Problems/SYN/SYN699-1.p;255;30.008938436;255;30.007259035;255;30.008316788;255;30.011909470;255;30.016838347;255;30.019710145;0;.004326814;0;.047976639
./TPTP-v8.2.0/Problems/SYN/SYN558-1.p;255;30.007231403;255;30.006357359;0;19.518327077;255;30.010851514;255;30.008248466;0;23.051774361;0;.007665427;0;.037913157
