file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT171-1.p;255;30.007512508;255;30.008084618;255;30.003888477;255;30.181202974
./TPTP-v8.2.0/Problems/LAT/LAT020-1.p;255;30.008447444;255;30.007184712;255;30.003991729;255;30.143120496
./TPTP-v8.2.0/Problems/LAT/LAT029-1.p;255;30.008442544;255;30.007347907;255;30.004003130;255;30.187701017
./TPTP-v8.2.0/Problems/LAT/LAT223-10.p;255;30.010225314;255;30.007057359;255;30.003251658;255;30.186569785
./TPTP-v8.2.0/Problems/LAT/LAT213-1.p;255;30.008335950;255;30.007648356;255;30.003444924;255;30.164738227
./TPTP-v8.2.0/Problems/LAT/LAT214-1.p;255;30.009889465;255;30.006863933;255;30.003233078;255;30.166320573
./TPTP-v8.2.0/Problems/LAT/LAT178-1.p;255;30.009113543;255;30.008654823;255;30.003702122;255;30.184731682
./TPTP-v8.2.0/Problems/LAT/LAT005-3.p;255;30.008914287;255;30.007022498;255;30.003407083;255;30.187934274
./TPTP-v8.2.0/Problems/LAT/LAT205-1.p;255;30.008551776;255;30.009069815;255;30.003628719;255;30.164255774
./TPTP-v8.2.0/Problems/LAT/LAT206-10.p;255;30.010334427;255;30.008789258;255;30.003392152;255;30.155988079
./TPTP-v8.2.0/Problems/LAT/LAT241-10.p;255;30.010411599;255;30.008032686;255;30.003703101;255;30.188719226
./TPTP-v8.2.0/Problems/LAT/LAT169-1.p;255;30.009261156;255;30.007178041;255;30.003914017;255;30.162660449
./TPTP-v8.2.0/Problems/LAT/LAT036-1.p;255;30.008205957;255;30.008716676;255;30.003951448;255;30.182093568
./TPTP-v8.2.0/Problems/LAT/LAT043-1.p;255;30.009548414;255;30.008225021;255;30.003878685;255;30.165068466
./TPTP-v8.2.0/Problems/LAT/LAT202-1.p;255;30.009727409;255;30.006480832;255;30.003629859;255;30.188080687
./TPTP-v8.2.0/Problems/LAT/LAT031-1.p;255;30.009397361;255;30.007535542;255;30.003268998;255;30.189399064
./TPTP-v8.2.0/Problems/LAT/LAT167-1.p;255;30.010351907;255;30.007824430;255;30.002768654;255;30.189306982
./TPTP-v8.2.0/Problems/LAT/LAT183-10.p;255;30.011576852;255;30.009637981;255;30.003506285;255;30.179383811
./TPTP-v8.2.0/Problems/LAT/LAT027-1.p;255;30.006961161;255;30.008554381;255;30.003086223;255;30.239362348
./TPTP-v8.2.0/Problems/LAT/LAT038-1.p;255;30.008087512;255;30.008623302;255;30.003646369;255;30.177629291
./TPTP-v8.2.0/Problems/LAT/LAT044-1.p;255;30.010073779;255;30.007936873;255;30.003234018;255;30.204082000
./TPTP-v8.2.0/Problems/LAT/LAT160-1.p;255;30.008473852;255;30.009542628;255;30.003573546;255;30.180968965
./TPTP-v8.2.0/Problems/LAT/LAT155-1.p;255;30.008932684;255;30.006112409;255;30.003889234;255;30.101147916
./TPTP-v8.2.0/Problems/LAT/LAT264-2.p;0;.030520743;0;.028032173;0;.003018346;0;.024912305
./TPTP-v8.2.0/Problems/LAT/LAT242-1.p;255;30.009243752;255;30.007028004;255;30.003533143;255;30.112519427
./TPTP-v8.2.0/Problems/LAT/LAT184-1.p;255;30.009599963;255;30.007762065;255;30.003605295;255;30.111223720
./TPTP-v8.2.0/Problems/LAT/LAT400-3.p;255;30.016525831;255;30.008583301;255;30.004338928;255;30.293249211
./TPTP-v8.2.0/Problems/LAT/LAT268-1.p;255;30.059524250;255;30.007511570;255;30.004233946;255;30.351012046
./TPTP-v8.2.0/Problems/LAT/LAT152-1.p;255;30.008559932;255;30.008007341;255;30.003838291;255;30.118895936
./TPTP-v8.2.0/Problems/LAT/LAT277-1.p;255;30.149295332;255;30.007944450;255;30.004120490;255;30.252977270
./TPTP-v8.2.0/Problems/LAT/LAT245-1.p;255;30.008985253;255;30.006605960;255;30.003200591;255;30.096001627
./TPTP-v8.2.0/Problems/LAT/LAT183-1.p;255;30.008031076;255;30.009012229;255;30.004082768;255;30.095427533
./TPTP-v8.2.0/Problems/LAT/LAT076-1.p;255;30.007545389;255;30.006783424;255;30.003066358;255;30.010645244
./TPTP-v8.2.0/Problems/LAT/LAT275-2.p;0;.984841749;0;1.092932556;0;.004791655;0;.028495726
./TPTP-v8.2.0/Problems/LAT/LAT280-2.p;0;.597155662;0;.403298758;0;.004254450;0;.027661512
./TPTP-v8.2.0/Problems/LAT/LAT239-1.p;255;30.007943141;255;30.009512154;255;30.003305559;255;30.096555091
./TPTP-v8.2.0/Problems/LAT/LAT004-1.p;255;30.009388825;255;30.006417372;255;30.003956636;255;30.098484106
./TPTP-v8.2.0/Problems/LAT/LAT078-1.p;255;30.006044926;255;30.006383490;255;30.003557566;255;30.011667310
./TPTP-v8.2.0/Problems/LAT/LAT035-1.p;255;30.008734017;255;30.007631525;0;.004866947;0;.074012663
./TPTP-v8.2.0/Problems/LAT/LAT237-1.p;255;30.007199231;255;30.005635057;255;30.003999634;255;30.106915796
./TPTP-v8.2.0/Problems/LAT/LAT265-1.p;0;5.510342857;255;30.007149394;0;.057633479;0;.060940853
./TPTP-v8.2.0/Problems/LAT/LAT230-1.p;255;30.007906939;255;30.009863045;255;30.004285336;255;30.152537426
./TPTP-v8.2.0/Problems/LAT/LAT263-2.p;255;30.009968885;255;30.006856677;0;.007127331;0;.026562762
./TPTP-v8.2.0/Problems/LAT/LAT003-1.p;255;30.010659233;255;30.005796035;255;30.003234082;255;30.102342174
./TPTP-v8.2.0/Problems/LAT/LAT032-1.p;255;30.006150107;255;30.006013226;255;30.004098112;255;30.095281620
./TPTP-v8.2.0/Problems/LAT/LAT201-1.p;255;30.012517780;255;30.007941229;255;30.003617745;255;30.104194596
./TPTP-v8.2.0/Problems/LAT/LAT273-1.p;255;30.091690550;255;30.006969362;0;.184157906;255;30.242647878
./TPTP-v8.2.0/Problems/LAT/LAT206-1.p;255;30.008606756;255;30.007987257;255;30.002609435;255;30.113541447
./TPTP-v8.2.0/Problems/LAT/LAT262-1.p;255;30.055400159;255;30.007806892;0;.343368985;255;30.256421832
./TPTP-v8.2.0/Problems/LAT/LAT096-1.p;255;30.007193213;255;30.009094971;255;30.004290010;255;30.015773119
./TPTP-v8.2.0/Problems/LAT/LAT208-1.p;255;30.006532842;255;30.007238334;255;30.004077447;255;30.100591402
./TPTP-v8.2.0/Problems/LAT/LAT273-2.p;0;.062898226;0;.031447788;0;.004591430;0;.030753749
./TPTP-v8.2.0/Problems/LAT/LAT075-1.p;255;30.007817147;255;30.008042884;255;30.003667926;255;30.011265726
./TPTP-v8.2.0/Problems/LAT/LAT072-1.p;255;30.010716079;255;30.007518479;255;30.003129112;255;30.022775561
./TPTP-v8.2.0/Problems/LAT/LAT091-1.p;255;30.008802036;255;30.008926708;255;30.003893374;255;30.080910383
./TPTP-v8.2.0/Problems/LAT/LAT040-1.p;255;30.009285630;255;30.009376991;255;30.004728968;255;30.097849253
./TPTP-v8.2.0/Problems/LAT/LAT163-1.p;255;30.008124757;255;30.006718897;255;30.003568635;255;30.124440644
./TPTP-v8.2.0/Problems/LAT/LAT164-1.p;255;30.009490215;255;30.008970710;255;30.003512544;255;30.117680932
./TPTP-v8.2.0/Problems/LAT/LAT246-1.p;255;30.008885288;255;30.007000994;255;30.003568065;255;30.116219571
./TPTP-v8.2.0/Problems/LAT/LAT009-1.p;255;30.009019281;255;30.008094725;255;30.003802711;255;30.143764389
./TPTP-v8.2.0/Problems/LAT/LAT151-1.p;255;30.008291971;255;30.007873798;255;30.003817381;255;30.150761946
./TPTP-v8.2.0/Problems/LAT/LAT180-1.p;255;30.008884097;255;30.008595429;255;30.003523463;255;30.161020307
./TPTP-v8.2.0/Problems/LAT/LAT007-1.p;255;30.008398412;255;30.008101693;255;30.003718737;255;30.037677311
./TPTP-v8.2.0/Problems/LAT/LAT005-6.p;255;30.009988117;255;30.006623092;255;30.004106859;255;30.088892038
