file;cadical_rect_res;cadical_rect_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT212-1.p;255;30.018199567;255;30.003101233;255;30.010408151;255;30.158801840
./TPTP-v8.2.0/Problems/LAT/LAT393-2.p;255;30.010419408;255;30.003398950;255;30.008532473;255;30.007869249
./TPTP-v8.2.0/Problems/LAT/LAT401-2.p;255;30.019089800;255;30.003384971;255;30.007816145;255;30.124989466
./TPTP-v8.2.0/Problems/LAT/LAT177-1.p;255;30.029557197;255;30.003858252;255;30.009715584;255;30.136699095
./TPTP-v8.2.0/Problems/LAT/LAT260-2.p;0;.029418713;0;.004489815;0;.025157473;0;.025819020
./TPTP-v8.2.0/Problems/LAT/LAT170-1.p;255;30.029720722;255;30.003443701;255;30.008852192;255;30.121179618
./TPTP-v8.2.0/Problems/LAT/LAT400-1.p;255;30.017730824;255;30.003501322;255;30.008725368;255;30.118429427
./TPTP-v8.2.0/Problems/LAT/LAT269-1.p;255;30.043254527;255;30.002879336;255;30.011813308;255;30.308895320
./TPTP-v8.2.0/Problems/LAT/LAT252-1.p;255;30.017822787;255;30.003131024;255;30.008544204;255;30.106227316
./TPTP-v8.2.0/Problems/LAT/LAT267-2.p;0;.031235200;0;.005208573;0;.028359315;0;.030577493
./TPTP-v8.2.0/Problems/LAT/LAT139-1.p;255;30.036559136;255;30.003175355;255;30.010686509;255;30.147973744
./TPTP-v8.2.0/Problems/LAT/LAT145-1.p;255;30.028978143;255;30.003216405;255;30.007554739;255;30.117258197
./TPTP-v8.2.0/Problems/LAT/LAT394-2.p;255;30.033413245;255;30.003519423;255;30.006663405;255;30.010483706
./TPTP-v8.2.0/Problems/LAT/LAT194-1.p;255;30.033275842;255;30.003296227;255;30.007593090;255;30.117209536
./TPTP-v8.2.0/Problems/LAT/LAT028-1.p;255;30.029604359;255;30.002678412;255;30.008560084;255;30.207400723
./TPTP-v8.2.0/Problems/LAT/LAT193-1.p;255;30.026112159;255;30.003290098;255;30.007755293;255;30.106212414
./TPTP-v8.2.0/Problems/LAT/LAT255-1.p;255;30.044716904;255;30.002717533;255;30.007894208;255;30.111119891
./TPTP-v8.2.0/Problems/LAT/LAT142-1.p;255;30.025687548;255;30.003664278;255;30.008433781;255;30.115116564
./TPTP-v8.2.0/Problems/LAT/LAT013-1.p;255;30.033960990;255;30.003113073;255;30.006830350;255;30.012147258
./TPTP-v8.2.0/Problems/LAT/LAT066-1.p;255;30.030455440;255;30.002964689;255;30.008667607;255;30.131967944
./TPTP-v8.2.0/Problems/LAT/LAT220-1.p;255;30.017046887;255;30.003317428;255;30.007647121;255;30.117000492
./TPTP-v8.2.0/Problems/LAT/LAT186-10.p;255;30.029721612;255;30.003045301;255;30.009787535;255;30.125254072
./TPTP-v8.2.0/Problems/LAT/LAT079-1.p;255;30.024783885;255;30.003271327;255;30.007356283;255;30.010858526
./TPTP-v8.2.0/Problems/LAT/LAT231-1.p;255;30.028330746;255;30.003346559;255;30.009675933;255;30.108439122
./TPTP-v8.2.0/Problems/LAT/LAT229-1.p;255;30.017899519;255;30.003677027;255;30.008804291;255;30.308304535
./TPTP-v8.2.0/Problems/LAT/LAT002-1.p;255;30.020938057;255;30.003414880;255;30.010282688;255;30.135519966
./TPTP-v8.2.0/Problems/LAT/LAT227-1.p;255;30.030339398;255;30.003814120;255;30.007648481;255;30.240519182
./TPTP-v8.2.0/Problems/LAT/LAT236-1.p;255;30.025729279;255;30.003078852;255;30.009453177;255;30.104450899
./TPTP-v8.2.0/Problems/LAT/LAT077-1.p;255;30.045562267;255;30.003034671;255;30.006969674;255;30.013997595
./TPTP-v8.2.0/Problems/LAT/LAT244-1.p;255;30.032836391;255;30.002910508;255;30.007748183;255;30.089605101
./TPTP-v8.2.0/Problems/LAT/LAT153-1.p;255;30.025743899;255;30.003370420;255;30.008401911;255;30.101738581
./TPTP-v8.2.0/Problems/LAT/LAT070-1.p;255;30.033597031;255;30.003244156;255;30.007393674;255;30.009413789
./TPTP-v8.2.0/Problems/LAT/LAT182-1.p;255;30.045365061;255;30.003711188;255;30.009320994;255;30.092785742
./TPTP-v8.2.0/Problems/LAT/LAT238-1.p;255;30.029885745;255;30.002858917;255;30.008948345;255;30.100292854
./TPTP-v8.2.0/Problems/LAT/LAT243-1.p;255;30.026046827;255;30.003640777;255;30.006280626;255;30.107799435
