file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT195-1.p;255;30.008007227;255;30.006337003;255;30.003461360;255;30.007426821;255;30.115660940
./TPTP-v8.2.0/Problems/LAT/LAT144-1.p;255;30.006989800;255;30.007053341;255;30.003487921;255;30.008721534;255;30.119559322
./TPTP-v8.2.0/Problems/LAT/LAT083-1.p;255;30.007778445;255;30.007710714;255;30.003755552;255;30.009714306;255;30.014783761
./TPTP-v8.2.0/Problems/LAT/LAT394-1.p;255;30.008456433;255;30.006216894;255;30.003559167;255;30.008509085;255;30.014030651
./TPTP-v8.2.0/Problems/LAT/LAT400-2.p;255;30.007961863;255;30.005233192;255;30.002592734;255;30.008225089;255;30.122175729
./TPTP-v8.2.0/Problems/LAT/LAT029-1.p;255;30.008012943;255;30.006376970;255;30.003728243;255;30.007777826;255;30.133977346
./TPTP-v8.2.0/Problems/LAT/LAT095-1.p;255;30.009208959;255;30.006381776;255;30.002817174;255;30.008710366;255;30.015275261
./TPTP-v8.2.0/Problems/LAT/LAT092-1.p;255;30.008877970;255;30.007393232;255;30.003179034;255;30.008625834;255;30.024395899
./TPTP-v8.2.0/Problems/LAT/LAT171-1.p;255;30.009354838;255;30.008577188;255;30.003351923;255;30.010416235;255;30.158028905
./TPTP-v8.2.0/Problems/LAT/LAT272-2.p;0;.031987615;0;.032871089;0;.005505304;0;.032546250;0;.029389638
./TPTP-v8.2.0/Problems/LAT/LAT176-1.p;255;30.006793940;255;30.007082998;255;30.003402524;255;30.009302636;255;30.165797226
./TPTP-v8.2.0/Problems/LAT/LAT205-1.p;255;30.008340469;255;30.007168418;255;30.003287918;255;30.008580435;255;30.128204772
./TPTP-v8.2.0/Problems/LAT/LAT223-10.p;255;30.008779101;255;30.007851178;255;30.003783273;255;30.008873744;255;30.193444228
./TPTP-v8.2.0/Problems/LAT/LAT213-1.p;255;30.008833502;255;30.006950383;255;30.003175076;255;30.009044957;255;30.163042423
./TPTP-v8.2.0/Problems/LAT/LAT178-1.p;255;30.008582576;255;30.007269482;255;30.003382791;255;30.009154440;255;30.179517283
./TPTP-v8.2.0/Problems/LAT/LAT241-10.p;255;30.010081945;255;30.006862250;255;30.003217927;255;30.012038645;255;30.174981835
./TPTP-v8.2.0/Problems/LAT/LAT214-1.p;255;30.007832015;255;30.006495261;255;30.003536375;255;30.012860127;255;30.171589066
./TPTP-v8.2.0/Problems/LAT/LAT020-1.p;255;30.008404261;255;30.007389395;255;30.003980567;255;30.009473018;255;30.186000123
./TPTP-v8.2.0/Problems/LAT/LAT036-1.p;255;30.010471154;255;30.006821988;255;30.003412911;255;30.008711188;255;30.181036711
./TPTP-v8.2.0/Problems/LAT/LAT031-1.p;255;30.008858882;255;30.007526267;255;30.003180645;255;30.008587064;255;30.178828924
./TPTP-v8.2.0/Problems/LAT/LAT169-1.p;255;30.008812469;255;30.008032700;255;30.003578445;255;30.009663792;255;30.168063312
./TPTP-v8.2.0/Problems/LAT/LAT202-1.p;255;30.008541452;255;30.006816218;255;30.003335278;255;30.010280129;255;30.162261481
./TPTP-v8.2.0/Problems/LAT/LAT206-10.p;255;30.008875052;255;30.006818628;255;30.003599046;255;30.010226238;255;30.187125251
./TPTP-v8.2.0/Problems/LAT/LAT005-3.p;255;30.008424771;255;30.007519988;255;30.003182306;255;30.012031855;255;30.213510131
./TPTP-v8.2.0/Problems/LAT/LAT038-1.p;255;30.008813308;255;30.007370831;255;30.003452780;255;30.008794928;255;30.155835293
./TPTP-v8.2.0/Problems/LAT/LAT043-1.p;255;30.008863530;255;30.006192501;255;30.003272646;255;30.008526562;255;30.187942912
